FECHA,HORA,MAGNITUD,LATITUD,LONGITUD,LOCALIZACION,
03/11/2019,19:53:37,3.6,19.36,-104.12,9,"38 km al NOROESTE de COQUIMATLAN, COL"
05/11/2019,08:06:15,3.5,19.13,-104.15,13,"19 km al NORESTE de MANZANILLO, COL"
05/11/2019,15:19:08,3.4,19.41,-103.94,39,"26 km al NOROESTE de VILLA DE ALVAREZ, COL"
06/11/2019,07:02:39,3.2,19.48,-103.93,26,"31 km al NOROESTE de VILLA DE ALVAREZ, COL"
07/11/2019,14:15:18,3.8,19.22,-104.15,7,"25 km al NORESTE de MANZANILLO, COL"
07/11/2019,18:22:27,3.6,19.36,-104.09,5,"35 km al NOROESTE de COQUIMATLAN, COL"
09/11/2019,20:34:19,3.7,19.08,-104.32,5,"4 km al NORTE de MANZANILLO, COL"
13/11/2019,04:35:22,3.5,19.01,-104.31,10,"4 km al SUR de MANZANILLO, COL"
13/11/2019,05:11:44,3.2,19.25,-104.11,4,"31 km al NORESTE de MANZANILLO, COL"
13/11/2019,10:50:17,3.5,19.11,-104.14,4,"19 km al NORESTE de MANZANILLO, COL"
15/11/2019,00:03:29,3.4,19.26,-104.08,12,"29 km al OESTE de COQUIMATLAN, COL"
15/11/2019,05:22:51,3.6,19.29,-104.02,13,"24 km al NOROESTE de COQUIMATLAN, COL"
18/11/2019,14:36:35,3.4,19.27,-104.01,12,"23 km al NOROESTE de COQUIMATLAN, COL"
18/11/2019,18:32:55,3.5,19.23,-104.18,9,"24 km al NORESTE de MANZANILLO, COL"
